,State,Weight,Lat,Lng
0,Alabama,554,32.3182314,-86.902298
1,Alaska,12,64.2008413,-149.4936733
2,Arizona,1082,34.0489281,-111.0937311
3,Arkansas,113,35.20105,-91.8318334
4,California,6643,36.778261,-119.4179324
5,Colorado,1339,39.5500507,-105.7820674
6,Connecticut,546,41.6032207,-73.087749
7,Delaware,145,38.9108325,-75.52766989999999
8,District of Columbia,437,38.9071923,-77.0368707
9,Florida,2960,27.6648274,-81.5157535
10,Georgia,2173,32.1656221,-82.9000751
11,Hawaii,50,19.8967662,-155.5827818
12,Idaho,138,44.0682019,-114.7420408
13,Illinois,2338,40.6331249,-89.3985283
14,Indiana,673,40.2671941,-86.1349019
15,Iowa,284,41.8780025,-93.097702
16,Kansas,359,39.011902,-98.4842465
17,Kentucky,411,37.8393332,-84.2700179
18,Louisiana,385,30.9842977,-91.96233269999999
19,Maine,106,45.253783,-69.4454689
20,Maryland,1380,39.0457549,-76.64127119999999
21,Massachusetts,1814,42.4072107,-71.3824374
22,Michigan,1253,44.3148443,-85.60236429999999
23,Minnesota,955,46.729553,-94.6858998
24,Mississippi,94,32.3546679,-89.3985283
25,Missouri,669,37.9642529,-91.8318334
26,Montana,58,46.8796822,-110.3625658
27,Nebraska,248,41.4925374,-99.9018131
28,Nevada,281,38.8026097,-116.419389
29,New Hampshire,271,43.1938516,-71.5723953
30,New Jersey,1631,40.0583238,-74.4056612
31,New Mexico,83,34.5199402,-105.8700901
32,New York,3284,40.7127753,-74.0059728
33,North Carolina,1291,35.7595731,-79.01929969999999
34,North Dakota,75,47.5514926,-101.0020119
35,Ohio,1820,40.4172871,-82.90712300000001
36,Oklahoma,364,35.0077519,-97.092877
37,Oregon,606,43.8041334,-120.5542012
38,Pennsylvania,1911,41.2033216,-77.1945247
39,Puerto Rico,15,18.220833,-66.590149
40,Rhode Island,128,41.5800945,-71.4774291
41,South Carolina,449,33.836081,-81.1637245
42,South Dakota,42,43.9695148,-99.9018131
43,Tennessee,917,35.5174913,-86.5804473
44,Texas,4016,31.9685988,-99.9018131
45,Utah,889,39.3209801,-111.0937311
46,Vermont,64,44.5588028,-72.57784149999999
47,Virginia,2876,37.4315734,-78.6568942
48,Washington,1183,47.7510741,-120.7401385
49,West Virginia,64,38.5976262,-80.4549026
50,Wisconsin,700,43.7844397,-88.7878678
51,Wyoming,18,43.0759678,-107.2902839
